id,type,src,dst,app,latency,message,ctime,size,buffer
11133,LINK,74,15,1,5.0000343908,1_(3-4),16074.120455023582,2579310,6
11133,LINK,74,15,1,5.00003339936,1_(3-7),16074.120455023582,2504952,7
11173,LINK,25,27,13,5.000032906533334,13_(68-69),16077.125399360648,2467990,5
11133,LINK,15,49,1,5.000036158733334,1_(3-9),16079.120491182315,2711905,3
11144,LINK,10,0,5,5.00004430268,5_(24-25),16080.069337442219,3322701,4
11144,LINK,10,0,5,5.000039752626667,5_(24-26),16080.069337442219,2981447,5
11144,LINK,10,0,5,5.000023488946667,5_(24-27),16080.069337442219,1761671,6
11144,LINK,10,0,5,5.000032611146667,5_(24-28),16080.069337442219,2445836,7
3171,LINK,55,5,7,5.000056191933333,7_(35-41),16081.312977099247,4214395,8
3171,LINK,55,5,7,5.0000367192,7_(35-36),16081.312977099247,2753940,9
3171,LINK,55,5,7,5.00002029168,7_(35-37),16081.312977099247,1521876,10
11172,LINK,15,35,13,5.000039744053334,13_(69-70),16083.196274835755,2980804,10
11133,LINK,15,49,1,5.0000343908,1_(3-4),16084.120525573115,2579310,10
11133,LINK,15,49,1,5.00003339936,1_(3-7),16089.120558972474,2504952,6
10110,LINK,2,57,11,5.000026070133333,11_(60-61),16096.210911013888,1955260,2
10110,LINK,2,59,11,5.00002505032,11_(60-62),16096.210911013888,1878774,3
11201,LINK,20,36,0,5.00004439524,M.USER.APP.0,16100,3329643,3
11202,LINK,33,1,1,5.000036175413333,M.USER.APP.1,16100,2713156,4
11203,LINK,88,74,1,5.000036175413333,M.USER.APP.1,16100,2713156,5
11204,LINK,93,40,1,5.000036175413333,M.USER.APP.1,16100,2713156,6
11205,LINK,97,41,1,5.000036175413333,M.USER.APP.1,16100,2713156,7
11207,LINK,38,7,3,5.000030384773333,M.USER.APP.3,16100,2278858,8
11217,LINK,62,6,6,5.00003632972,M.USER.APP.6,16100,2724729,9
11219,LINK,98,81,6,5.00003632972,M.USER.APP.6,16100,2724729,10
11220,LINK,52,30,7,5.000055566026667,M.USER.APP.7,16100,4167452,11
11222,LINK,64,3,7,5.000055566026667,M.USER.APP.7,16100,4167452,12
11224,LINK,83,70,7,5.000055566026667,M.USER.APP.7,16100,4167452,13
11225,LINK,24,5,8,5.0000388074133335,M.USER.APP.8,16100,2910556,14
11226,LINK,46,2,8,5.0000388074133335,M.USER.APP.8,16100,2910556,15
11227,LINK,16,68,9,5.000026470466667,M.USER.APP.9,16100,1985285,16
11229,LINK,71,2,10,5.000034898733333,M.USER.APP.10,16100,2617405,17
11230,LINK,46,2,11,5.000021404866667,M.USER.APP.11,16100,1605365,18
11231,LINK,61,16,11,5.000021404866667,M.USER.APP.11,16100,1605365,19
11232,LINK,67,27,11,5.000021404866667,M.USER.APP.11,16100,1605365,20
11233,LINK,88,74,11,5.000021404866667,M.USER.APP.11,16100,1605365,21
11234,LINK,96,70,11,5.000021404866667,M.USER.APP.11,16100,1605365,22
11235,LINK,14,2,12,5.0000396870933335,M.USER.APP.12,16100,2976532,23
11236,LINK,55,2,12,5.0000396870933335,M.USER.APP.12,16100,2976532,24
11238,LINK,81,19,12,5.0000396870933335,M.USER.APP.12,16100,2976532,25
11239,LINK,96,4,12,5.0000396870933335,M.USER.APP.12,16100,2976532,26
11240,LINK,24,9,13,5.00002695276,M.USER.APP.13,16100,2021457,27
11241,LINK,55,2,13,5.00002695276,M.USER.APP.13,16100,2021457,28
11242,LINK,61,37,13,5.00002695276,M.USER.APP.13,16100,2021457,29
11243,LINK,64,9,13,5.00002695276,M.USER.APP.13,16100,2021457,30
11245,LINK,88,74,13,5.00002695276,M.USER.APP.13,16100,2021457,31
11249,LINK,81,2,14,5.000058506106667,M.USER.APP.14,16100,4387958,32
11250,LINK,83,70,14,5.000058506106667,M.USER.APP.14,16100,4387958,33
11253,LINK,97,41,14,5.000058506106667,M.USER.APP.14,16100,4387958,34
11254,LINK,98,2,14,5.000058506106667,M.USER.APP.14,16100,4387958,35
11256,LINK,32,20,15,5.000022028946667,M.USER.APP.15,16100,1652171,36
11257,LINK,55,2,15,5.000022028946667,M.USER.APP.15,16100,1652171,37
11258,LINK,62,5,15,5.000022028946667,M.USER.APP.15,16100,1652171,38
11259,LINK,65,29,15,5.000022028946667,M.USER.APP.15,16100,1652171,39
11260,LINK,93,34,15,5.000022028946667,M.USER.APP.15,16100,1652171,40
11265,LINK,62,6,17,5.000042796453333,M.USER.APP.17,16100,3209734,41
11266,LINK,88,28,17,5.000042796453333,M.USER.APP.17,16100,3209734,42
11267,LINK,98,2,17,5.000042796453333,M.USER.APP.17,16100,3209734,43
11268,LINK,52,5,18,5.00003226232,M.USER.APP.18,16100,2419674,44
11270,LINK,9,2,19,5.000049633213333,M.USER.APP.19,16100,3722491,45
11231,LINK,16,5,11,5.000021404866667,M.USER.APP.11,16105.000021404867,1605365,40
11258,LINK,5,24,15,5.000022028946667,M.USER.APP.15,16105.000022028948,1652171,37
11240,LINK,9,33,13,5.00002695276,M.USER.APP.13,16105.00002695276,2021457,34
11242,LINK,37,15,13,5.00002695276,M.USER.APP.13,16105.00002695276,2021457,35
11243,LINK,9,33,13,5.00002695276,M.USER.APP.13,16105.00002695276,2021457,36
11268,LINK,5,90,18,5.00003226232,M.USER.APP.18,16105.00003226232,2419674,35
11229,LINK,2,100,10,1.00002093924,M.USER.APP.10,16105.000034898734,2617405,35
11202,LINK,1,2,1,5.000036175413333,M.USER.APP.1,16105.000036175414,2713156,32
11204,LINK,40,0,1,5.000036175413333,M.USER.APP.1,16105.000036175414,2713156,33
11205,LINK,41,2,1,5.000036175413333,M.USER.APP.1,16105.000036175414,2713156,34
11225,LINK,5,1,8,5.0000388074133335,M.USER.APP.8,16105.000038807413,2910556,31
11226,LINK,2,1,8,5.0000388074133335,M.USER.APP.8,16105.000038807413,2910556,32
11235,LINK,2,12,12,5.0000396870933335,M.USER.APP.12,16105.000039687093,2976532,29
11236,LINK,2,12,12,5.0000396870933335,M.USER.APP.12,16105.000039687093,2976532,30
11239,LINK,4,2,12,5.0000396870933335,M.USER.APP.12,16105.000039687093,2976532,31
11266,LINK,28,0,17,5.000042796453333,M.USER.APP.17,16105.000042796453,3209734,31
11270,LINK,2,100,19,1.000029779928,M.USER.APP.19,16105.000049633214,3722491,30
11220,LINK,30,3,7,5.000055566026667,M.USER.APP.7,16105.000055566026,4167452,28
11224,LINK,70,2,7,5.000055566026667,M.USER.APP.7,16105.000055566026,4167452,29
11231,LINK,5,2,11,5.000021404866667,M.USER.APP.11,16110.000042809734,1605365,25
11268,LINK,90,40,18,5.00003226232,M.USER.APP.18,16110.00006452464,2419674,20
11241,LINK,2,100,13,1.000016171656,M.USER.APP.13,16110.000066639854,2021457,20
11202,LINK,2,26,1,5.000036175413333,M.USER.APP.1,16110.000072350827,2713156,18
11204,LINK,0,2,1,5.000036175413333,M.USER.APP.1,16110.000072350827,2713156,19
11205,LINK,2,26,1,5.000036175413333,M.USER.APP.1,16110.000072350827,2713156,20
11265,LINK,6,86,17,5.000042796453333,M.USER.APP.17,16110.000079126174,3209734,18
11239,LINK,2,12,12,5.0000396870933335,M.USER.APP.12,16110.000079374186,2976532,17
11266,LINK,0,8,17,5.000042796453333,M.USER.APP.17,16110.000085592907,3209734,17
11267,LINK,2,19,17,5.000042796453333,M.USER.APP.17,16110.00010130256,3209734,16
11224,LINK,2,3,7,5.000055566026667,M.USER.APP.7,16110.000111132053,4167452,15
11250,LINK,70,2,14,5.000058506106667,M.USER.APP.14,16110.000114072132,4387958,15
11194,LINK,2,98,16,5.0000338871466665,16_(88-89),16112.78635226398,2541536,15
11245,LINK,74,15,13,5.00002695276,M.USER.APP.13,16115.000084533041,2021457,13
11257,LINK,2,20,15,5.000022028946667,M.USER.APP.15,16115.000088668801,1652171,13
11204,LINK,2,26,1,5.000036175413333,M.USER.APP.1,16115.000108526241,2713156,11
11265,LINK,86,8,17,5.000042796453333,M.USER.APP.17,16115.000121922627,3209734,10
11175,LINK,15,35,13,5.000039744053334,13_(69-70),16120.31110041715,2980804,1
11192,LINK,29,65,16,5.0000338871466665,16_(88-89),16121.545288364321,2541536,2
6932,LINK,26,18,1,5.000036158733334,1_(3-9),16122.327977378594,2711905,3
6932,LINK,26,85,1,5.0000343908,1_(3-4),16122.327977378594,2579310,4
6932,LINK,26,85,1,5.00003339936,1_(3-7),16122.327977378594,2504952,5
11269,LINK,61,37,18,5.000054029666667,18_(96-97),16126.892561983472,4052225,3
11269,LINK,61,37,18,5.000042393986667,18_(96-98),16126.892561983472,3179549,4
6932,LINK,18,76,1,5.000036158733334,1_(3-9),16127.328013537328,2711905,3
4858,LINK,38,7,10,5.000037647586667,10_(52-56),16129.166666666677,2823569,4
4858,LINK,38,7,10,5.000021675146667,10_(52-57),16129.166666666677,1625636,5
4858,LINK,38,7,10,5.00005956884,10_(52-53),16129.166666666677,4467663,6
4858,LINK,38,7,10,5.000047677173334,10_(52-55),16129.166666666677,3575788,7
10016,LINK,3,0,2,5.0000529769333335,2_(10-11),16129.636923076941,3973270,8
11269,LINK,37,0,18,5.000054029666667,18_(96-97),16131.892616013138,4052225,8
10016,LINK,0,54,2,5.0000529769333335,2_(10-11),16134.636976053875,3973270,5
11207,LINK,7,17,3,5.000057133226667,3_(12-13),16135.827316306399,4284992,6
11207,LINK,7,17,3,5.000034690933333,3_(12-14),16135.827316306399,2601820,7
11207,LINK,7,17,3,5.000038559786667,3_(12-15),16135.827316306399,2891984,8
11207,LINK,7,17,3,5.000022498733333,3_(12-16),16135.827316306399,1687405,9
11207,LINK,7,17,3,5.00003735084,3_(12-20),16135.827316306399,2801313,10
11269,LINK,37,0,18,5.000042393986667,18_(96-98),16136.892658407125,3179549,10
11269,LINK,0,40,18,5.000054029666667,18_(96-97),16136.892670042804,4052225,10
11244,LINK,67,27,13,5.000032906533334,13_(68-69),16137.277372262773,2467990,11
10733,LINK,71,2,7,5.000056191933333,7_(35-41),16138.553775743665,4214395,12
10733,LINK,71,3,7,5.0000367192,7_(35-36),16138.553775743665,2753940,13
11240,LINK,33,1,13,5.000032906533334,13_(68-69),16138.562693726552,2467990,14
4858,LINK,7,63,10,5.000021675146667,10_(52-57),16139.166725989411,1625636,14
11259,LINK,29,2,15,5.00005192936,15_(81-82),16141.278731706367,3894702,13
11259,LINK,29,2,15,5.000058252146666,15_(81-85),16141.278731706367,4368911,14
11269,LINK,0,40,18,5.000042393986667,18_(96-98),16141.892712436791,3179549,14
10733,LINK,2,0,7,5.000056191933333,7_(35-41),16143.553831935598,4214395,11
11240,LINK,1,25,13,5.000032906533334,13_(68-69),16143.562726633085,2467990,11
4858,LINK,7,63,10,5.00005956884,10_(52-53),16144.166785558251,4467663,10
11267,LINK,19,21,17,5.000034830733333,17_(92-93),16146.241151293258,2612305,10
11259,LINK,2,11,15,5.00005192936,15_(81-82),16146.278783635727,3894702,10
11191,LINK,37,61,16,5.0000338871466665,16_(88-89),16148.538179191366,2541536,10
11240,LINK,25,27,13,5.000032906533334,13_(68-69),16148.562759539618,2467990,9
11261,LINK,61,37,16,5.0000242222,16_(87-88),16148.710743801654,1816665,10
4858,LINK,7,17,10,5.000047677173334,10_(52-55),16149.166833235424,3575788,10
11259,LINK,2,11,15,5.000058252146666,15_(81-85),16151.278841887874,4368911,6
10111,LINK,2,57,11,5.000026070133333,11_(60-61),16151.563562061978,1955260,7
