id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2338,COMP_M,10,10_54,10_(52-54),122,124,90,90,10_52,48.93103448275862,4722.18805179907,4771.119086281829,4722.18805179907,4722.18805179907
1557,COMP_M,6,6_32,6_(30-32),103,99,40,20,6_30,37.45,4724.60815948144,4762.05815948144,4714.608045518027,4724.60815948144
889,COMP_M,14,14_77,14_(76-77),147,148,2,86,14_76,39.83307332293292,4724.746201295137,4764.5792746180705,4714.7460907949235,4724.746201295137
2269,COMP_M,10,10_58,10_(54-58),124,128,90,14,10_54,39.128482972136226,4725.0002492295735,4764.12873220171,4702.504341929867,4725.0002492295735
1985,COMP_M,8,8_47,8_(43-47),113,117,29,34,8_43,79.9623352165725,4725.098732153219,4805.061067369792,2965.855561485794,2990.8557583826337
842,COMP_M,1,1_4,1_(3-4),73,74,34,82,1_3,92.76494023904382,4725.207330459406,4817.972270698449,2591.2523902243793,2621.2525870204854
1807,COMP_M,15,15_81,M.USER.APP.15,56,151,55,13,None,30.135048231511256,4725.662445508047,4755.797493739558,2600.0,2645.000417009547
3220,COMP_M,19,19_105,19_(103-105),175,173,13,40,19_103,76.68580542264753,4727.457479371078,4804.143284793726,4717.457372710891,4727.457479371078
1612,COMP_M,1,1_3,M.USER.APP.1,1,73,33,34,None,49.72504708097929,4729.4294147064975,4779.154461787477,2400.0,2420.000144701653
2519,COMP_M,18,18_96,M.USER.APP.18,68,166,61,37,None,66.07106598984771,4729.974651551661,4796.045717541509,3600.0,3605.00003226232
757,COMP_M,15,15_84,15_(82-84),152,154,88,97,15_82,59.93265306122449,4730.000248158333,4789.932901219558,4702.728227441199,4730.000248158333
1906,COMP_M,6,6_29,M.USER.APP.6,15,102,46,90,None,34.22354340071344,4730.178431755753,4764.4019751564665,2800.0,2810.00007265944
2757,COMP_M,9,9_49,9_(48-49),118,119,4,80,9_48,115.5688622754491,4730.608133651515,4846.176995926964,4108.42237140512,4123.422504908999
1556,COMP_M,6,6_33,6_(32-33),99,100,20,78,6_32,35.44183168316832,4732.75253871273,4768.194370395898,4722.752487142996,4732.75253871273
1284,COMP_M,7,7_37,7_(35-37),105,107,35,44,7_35,21.9868154158215,4737.273670940404,4759.260486356226,4704.984299572777,4737.273670940404
3220,COMP_M,19,19_104,19_(103-104),175,172,13,91,19_103,54.86977886977887,4737.273712324458,4792.143491194237,4717.457372710891,4737.273712324458
3245,COMP_M,8,8_43,M.USER.APP.8,24,113,24,29,None,27.927741935483873,4737.92781955031,4765.855561485794,4700.0,4715.000116422239
571,COMP_M,4,4_21,M.USER.APP.4,10,91,71,74,None,88.91099476439791,4738.3718464151725,4827.282841179571,900.0,935.0002768884534
266,COMP_M,15,15_83,15_(82-83),152,153,88,11,15_82,249.1629213483146,4739.877189971343,4989.040111319658,1491.5086328466027,1511.508794890869
720,COMP_M,7,7_40,7_(36-40),106,110,22,50,7_36,74.19137931034483,4740.000333184243,4814.191712494588,4712.273478624164,4740.000333184243
720,COMP_M,7,7_38,7_(36-38),106,108,22,44,7_36,46.081135902636916,4742.273701031311,4788.354836933948,4712.273478624164,4742.273701031311
1779,COMP_M,10,10_59,10_(58-59),128,129,14,83,10_58,86.88888888888889,4743.573480791708,4830.462369680597,3796.0265780476134,3811.0267473668528
1614,COMP_M,1,1_8,1_(3-8),73,78,34,17,1_3,23.983981693363845,4744.429527289776,4768.41350898314,4729.4294147064975,4744.429527289776
889,COMP_M,14,14_79,14_(76-79),147,150,2,61,14_76,37.21384297520661,4744.484591471007,4781.6984344462135,4714.7460907949235,4744.484591471007
3286,COMP_M,17,17_92,M.USER.APP.17,65,162,88,97,None,26.586734693877553,4746.586905879691,4773.173640573568,4700.0,4725.000213982266
383,COMP_M,11,11_60,M.USER.APP.11,32,130,88,38,None,178.13888888888889,4746.611175325708,4924.750064214597,600.0,620.0000856194665
2338,COMP_M,10,10_56,10_(52-56),122,126,90,9,10_52,37.741336633663366,4750.000401326706,4787.741737960369,4722.18805179907,4750.000401326706
844,COMP_M,1,1_6,1_(4-6),74,76,82,73,1_4,41.630581867388365,4750.20751558702,4791.838097454408,4725.207330459406,4750.20751558702
1848,COMP_M,10,10_55,10_(52-55),122,125,90,74,10_52,87.15968586387434,4750.918801874883,4838.078487738757,3761.5816308716007,3786.581843255441
1757,COMP_M,3,3_18,3_(15-18),85,88,9,23,3_15,179.77227722772278,4751.382959676067,4931.15523690379,2750.9166648219616,2760.9167790484153
3246,COMP_M,8,8_46,8_(43-46),113,116,29,20,8_43,40.6453125,4752.927934822644,4793.5732473226435,4737.92781955031,4752.927934822644
1353,COMP_M,7,7_35,M.USER.APP.7,22,105,71,35,None,48.26299045599151,4753.2472900287685,4801.51028048476,2000.0,2028.5082740562507
507,COMP_M,6,6_31,6_(30-31),103,104,40,48,6_30,126.36744186046512,4754.214072999068,4880.581514859533,1657.4310120251987,1672.431142098879
3246,COMP_M,8,8_45,8_(43-45),113,115,29,0,8_43,41.98777777777778,4755.00046978512,4796.988247562897,4737.92781955031,4755.00046978512
2338,COMP_M,10,10_53,10_(52-53),122,123,90,44,10_52,39.21399594320487,4755.000482816799,4794.214478760005,4722.18805179907,4755.000482816799
1559,COMP_M,6,6_30,6_(29-30),102,103,90,40,6_29,40.76236044657097,4755.370405964598,4796.132766411169,4011.4840203407707,4016.4840797826905
2687,COMP_M,9,9_51,9_(49-51),119,121,80,97,9_49,25.11326530612245,4755.608280006769,4780.721545312891,4730.608133651515,4755.608280006769
1808,COMP_M,15,15_81,M.USER.APP.15,57,151,62,13,None,30.135048231511256,4755.797493739558,4785.932541971069,2600.0,2650.000439038494
301,COMP_M,7,7_42,7_(38-42),108,112,44,54,7_38,220.2037914691943,4756.544084170913,4976.747875640108,2015.6264011919814,2035.0002481716263
891,COMP_M,14,14_76,M.USER.APP.14,50,147,87,2,None,42.24537607891492,4756.991466873838,4799.236842952753,1300.0,1315.000130856933
3157,COMP_M,3,3_17,3_(15-17),85,87,9,98,3_15,55.10732984293194,4757.075975778624,4812.1833056215555,4747.075914756544,4757.075975778624
617,COMP_M,15,15_85,15_(81-85),151,155,13,80,15_81,88.46706586826348,4760.422714224493,4848.889780092756,1712.1576223569377,1727.1577971133775
906,COMP_M,17,17_93,17_(92-93),162,163,97,70,17_92,124.30875576036867,4761.010973505529,4885.319729265898,1373.1736405735683,1388.1737450657681
875,COMP_M,12,12_63,M.USER.APP.12,34,137,14,50,None,74.97068965517241,4763.182877681972,4838.1535673371445,1300.0,1325.0001984354662
1907,COMP_M,6,6_29,M.USER.APP.6,16,102,62,90,None,34.22354340071344,4764.4019751564665,4798.62551855718,2800.0,2815.00010898916
1532,COMP_M,16,16_87,M.USER.APP.16,61,161,65,17,None,53.94965675057208,4764.670704229267,4818.6203609798395,2200.0,2240.00033342896
1558,COMP_M,6,6_32,6_(30-32),103,99,40,20,6_30,37.45,4765.370519928011,4802.820519928011,4755.370405964598,4765.370519928011
1123,COMP_M,1,1_7,1_(3-7),73,77,34,99,1_3,69.40768094534712,4765.632232555655,4835.039913501002,3436.5781906010307,3466.5783975073764
905,COMP_M,17,17_95,17_(93-95),163,165,70,73,17_93,28.070365358592692,4766.0110162143565,4794.081381572949,4761.010973505529,4766.0110162143565
382,COMP_M,11,11_62,11_(60-62),130,132,38,79,11_60,35.729166666666664,4766.6112765468015,4802.3404432134685,4746.611175325708,4766.6112765468015
888,COMP_M,14,14_77,14_(76-77),147,148,2,86,14_76,39.83307332293292,4766.991577374052,4806.824650696985,4756.991466873838,4766.991577374052
551,COMP_M,16,16_89,16_(88-89),157,158,84,75,16_88,159.7378640776699,4768.408740844817,4928.146604922486,2856.1072012544855,2866.1072690287792
1351,COMP_M,7,7_41,7_(35-41),105,111,35,9,7_35,33.84034653465346,4770.797658052785,4804.638004587438,4753.2472900287685,4770.797658052785
905,COMP_M,17,17_94,17_(93-94),163,164,70,74,17_93,52.832460732984295,4771.01103826513,4823.843498998114,4761.010973505529,4771.01103826513
1557,COMP_M,6,6_33,6_(32-33),99,100,20,78,6_32,35.44183168316832,4772.058211051174,4807.500042734342,4762.05815948144,4772.058211051174
826,COMP_M,15,15_82,15_(81-82),151,152,13,88,15_81,69.80912162162163,4772.537349062821,4842.3464706844425,2134.0482975980954,2155.144589854185
1427,COMP_M,9,9_50,9_(49-50),119,120,80,58,9_49,220.68995633187774,4772.790588052402,4993.48054438428,2650.3686126934326,2670.368706923832
3287,COMP_M,17,17_92,M.USER.APP.17,66,162,98,97,None,26.586734693877553,4773.173640573568,4799.760375267446,4700.0,4735.000321221494
1328,COMP_M,18,18_97,18_(96-97),166,167,37,66,18_96,123.98341232227489,4773.457516265338,4897.440928587613,2615.7005398765336,2630.700701965533
1565,COMP_M,8,8_44,8_(43-44),113,114,29,66,8_43,102.69431279620854,4774.172029918576,4876.866342714785,2365.855561485794,2380.855696024674
3227,COMP_M,3,3_13,3_(12-13),82,83,41,86,3_12,34.33541341653666,4774.905125133282,4809.240538549819,4759.904953733602,4774.905125133282
3226,COMP_M,2,2_11,2_(10-11),80,81,4,45,2_10,68.34651162790698,4776.794530213861,4845.141041841768,4766.794424259995,4776.794530213861
261,COMP_M,14,14_78,14_(76-78),147,149,2,93,14_76,158.97256097560975,4777.449913629636,4936.422474605246,1377.3613805606471,1392.3615516254874
